GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Laboratorio-3-DOSW,edu.dosw.lab,Application,5,0,0,0,3,0,2,0,2,0
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,BankifyFacade,25,28,4,0,7,8,4,3,2,3
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,Customer,22,22,0,0,8,7,3,4,3,4
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,Movement,5,28,1,1,1,7,1,2,0,2
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,ValidateAccount,1,14,1,3,0,2,1,3,0,2
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,Account,7,45,0,0,4,14,3,5,3,5
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,ManagementAccount,0,55,0,2,0,10,0,3,0,2
Laboratorio-3-DOSW,edu.dosw.lab.Reto4,ValidateRegister,5,0,0,0,2,0,2,0,2,0
Laboratorio-3-DOSW,edu.dosw.lab.Reto3,ValidateVotes,47,0,8,0,11,0,7,0,3,0
Laboratorio-3-DOSW,edu.dosw.lab.Reto3,Fibonacci,43,0,0,0,3,0,3,0,3,0
Laboratorio-3-DOSW,edu.dosw.lab.Reto3,PlanningPoker,166,0,16,0,40,0,13,0,5,0
